Label,Review
0,go game go constantly come  sorry  problem log mobage 
0,first got flutter wanted play went game told problem nt even play one ask people made game fix please becase happen people would nt want download think guy fix  
0,dumb
1,thought might app issue  went mobage website  used email try app create new account  created immediately  email use  shock  use login app  huh 
1,would allow sign  kept say password wrong
0,little peace good mind  never bord play
1,love game super amazing educational fact nt work right start timed event pretty irritate want able get event butterfly wont connect internet
0,already uninstalled game suck one thing got work
1,really far today would nt open 3 hour progress lost
1,say find file please reload
0,happy right
0,20000 point n alot butterfly start hate say ill never play
1,cant believe restarted beginning
1,wont link google account like read many others face problem
0,thats good
1,downloaded app could nt find file even load game
0,help issue
1,keep say connected network tried wifi data network neither work
1,wont load last update  otherwise fun game
1,cant connect facebook every time want play uninstall reinstall application connect google account
1,problem near hourly crash report high battery drain background
1,liked first started play keep crash connect anything
1,jave play month got far played earlier today tell load file wont load someone please help im go withdraw need play asap
1,always say file couldnt found doesnt load
1,loved game 1700 point many butterfly tell google account associated already lost everything
1,love game shut maintenance nothing trouble cant even play game anymore uninstall keep try reinstall keep say file miss
0,clue happened game started way beginning
0,upset
1,wasted time money flower nt work
1,lost progress app purchase last update
0,quite clear game well liked new player becomes near impossible complete without spend 100 silly
1,get  buy moba coin  screen error pop ip say could nt connect app store
1,great restarted begin dont know happened 
0,tried install keep say file found uninstalled right away nt waste time guy play brave frontier instead actually cared worker
0,happy new update
1,pissed  lost progress  uninstall
0,back let play game
1,glitchy day lost progress
0,obviously one
0,nt waste time money
0,last night play sudden cut made start beginning
1, fixed  app wont load phone goodbye flutter
0,downloaded game yesterday cant even get
1,keep say file could nt load file
0,nice wasting time game
0,wont let finish limited butterfly
0,longer factbook
0,fourth time action  decided nt worth
1,need another nest hatch egg take long egg gain enough money expansion without get bored
1,lost everything recent update
1,recently updated tablet data lost
0,achievement updated
1,ok add bad news finally got almost 1700 pt say cant load file
1,restarted three time say something wrong acct
0,love game able play since last night
1,one friend see cant see amigo flower gifted  
1,scared glitch lose data guess  happened
0,could download samsung
1,even tried signing account tell user account already exists wont let sign either
1,look like awesome game cant complete tutorial due step must fee catipillar tap tap nothing happens tap anything else cant fee catipillar please get back play
0,made new account could nt get
0,say internet work
0,connection fine would nt able leave comment
0,f useless flower
1,eventually got sign google account completely started beginning lost progess
0,start uninstalling game
1,amazing game since update everything gone say file found
1,every time updated  could nt log
1,lost everything   love game really upset happened
0,mention special butterfly got wisp special occasion
1,dont donate pay bad service ever issue
0,upset game
0,make sense since perfect internet connection
0,nt would 5 star rating
1,perfectly good connection cant enter game  
0,whenever open app there connection even connection strongest broadband ok still connection
0,make sad thought found new game addicted
1,fuck forest reset butterfly gone
0,seems though alot u problem
1,know would make good game  told started damn event nt play game everyday like stupid company assumes would nice got notification new event start  already way behind way get butterfly event annoying thing ever consider uninstalling since regular butterfly anyways event reason still game
1,game nt work
0,however  upset flower seem e rig
0,gave 3 star even though love game u get certain level u pretty much spend alot money collect butterfly even though im spend money game nt much complete game
0,stupid update
1,cant connect game
1,loved game  wont load
1,game wont even let log
1,wont connect facebook many time  freeze  etc
0,game restart let connect friend
1,lost entire game money spent
1,woke morning back normal collect butterfly doesnt count next collection also happens feed caterpillar
0,emailed team multiple time asked heard nothing back  please help
1,liked game last download longer access game say miss file
0,suck
0,happy please fix problem
0,nt want start guess game get unistalled
1,mention save ton honeydew add tiny space
1,lost data said internet connection
1,restart told whatever  made  2000 somethin fix delete whole entire app dont want get rid stuff saved
1,lost butterfly restarted love game far want cry
1,game reset every day  lost butterfly  progress time
0,let log facebook acct
0,like visit neighbor  add extra stuff doupdate  longer access game say response server fix star
1,back lost game latest update
1,lastly confirmation lay egg  fully leveled butterfly nt able  attracted  unless place flower
0,game open
1,nt good  get flower cant use reason  even level use
1,say account nt exist
1,also sometimes game timer stuff nt work game closed work open game freeze nt count
0,hey ypu yes fucker u never made great game life get lost game jst useless fuck thing get lost fucker dont install game
1,liked game updated today lost everything delete quite miffed
1,find flower hidden forest click  nt go inventory  also purchased honey dew disappear
1,butterfly nt always  e
0,sure happens anyone else love game nt would nt left review would really like fixed
0,worth hassle
1,downloaded game never got flutterbucks
1,loved game spent ton money past day ive much trouble log im verge uninstalling   get hour end error message say check internet connection ask log  please fix
1,say internet connection problem
1,flower useless want use 100  flower
1,upset got far game update hardwork erased
1,lost everything overnight last night
1,every since update wont open time say cant find internet home wi fi device game work
0,download game dont spend money probably start
1,went load could nt sign account say  account belongs someone else  started everything  disappointed  far game  30 different butterfly
1,wont load
0,uninstall butterfly gone start
1,loved couple day  log issue lost game many attempt log back  disappointed uninstalled
0,love game tried play morning started beginning really mad favorite game
0,like game able play
0,mention download game get free mobacoins never get free coin
0,guy owe many coin even funny
0,im upset
