Label,Review
0,really briliant app intuitive informative give information could need seemingly accurate 
1,connect gps app connect gps matter long  gps set high accuracy setting appear set  app useless cant track workout 
1,wish would interest google provide weekly monthly summary 
1,useless talk gps phone  20 minute run data 
0,great app glad used track perfectly 
0,excellent thank 
1,update wish app quick sharing could view device without drive ability view google map instead google earthadv version map cuz home stuff tablet exercise phone hassle overall like app need update keep rest google product become competitive product 
1,nice needs work used app time every time take age locate position via gps  change apps rely gps locate straight away  return app still search  last time took five minute locate position took enjoyment use app  continue use see improves  35 
0,dr anand venugopal good 
0,interesting app 
0,brilliant good solid app 
0,superb 
1,put feature google app put feature google app google fit play music better yet google map 
1,daily request without daily request upload track cloud 5 star  continuation request 2 star contact fcc 
1,work great really like app fancy cumbersome use enough make useful  postworkout map recording neat bit gimmick doubt many would rewatch  issue gps signal others reported  would like see support bluetooth health tracker fitbit added app 
1,accurate noticed speed accurate  nt know elevation change seem also 
1,nice record root help return 
0,good nice apps 
1,track app app downloaded galaxy lll show screenhow use  
0,far good  started use bike  seems work ok bad free 
0,nice good aap 
0,great app excellent application 
1,display wrong distance 
1,support 1115 went web site said nt go support 1115  still good app though 
0,osome application 
1,light easy use one problem often lost signal normal circonstances recover reconnect correctly  time end unusable track 
1,loss gps signal lot used mototracktour time motorbike ride today  mototracktour tracked route perfectly  whilst app lost 30 route  google earth flyover function cool worth ca nt basic 
0,nice 
0,samsung galaxy w anyone plz give feedback app galaxy w 
0,awesome app 
0,nice 
0,work worked work update kk 442 
0,hide wife car know everything sancho 
0,cool work clear android 
0,great app try four first time 
0,great app work well  love 
0,track good even work internet take bit time find gps dose great 
0,great mark trail google eath garmin monterra 
0,horrible app screwed phone 
1,un installed one use  second time tried app improvement  wo nt get gps fix hitting record  take forever obtain gps fix  loses gps fix wind blow  possible accurately track time distance limitation 
0,many try beat fail  
0,track 
0,track work awesome best track app ever keep sexy update come  
0,superb app  
0,threat app 
0,perfect route mapping  excellent app 
0, 
1,work well need however work even nt need app terrible battery  take around 40 battery time accord system  must say app foreground recording run  still much battery gone  weird  however nice app work fine need 
0,track great walk drive give good detailed info use share others 
0,track mevasa sanosara chotila gujrat india love mobile app track informed map u 
1,useful simple flexible  great track statistic without needless  additive   excellent google drive sync integration 
1,battery drain level 9000 never launched app moto x drain battery anyway wtf  
0,superb great app google 
0,best tracker market discovered number route biking awsome app help return back home tecords digital foot print earth
0,william ennis 
0,amaze app really amazing app 
0,nice software 
1,pretty decent app get kml file hike app used problem record certain number mile single track 3 mile  sure still exists since nt track long lately  hopefully still exists limitation go away future version  option pick older track future date would nice especially phone need reboot revisit somewhere went pick left  great help make custom google map track 
0,fab  work good x 
1,useful informative use long time  useful informative  wonder app go support samsung gear fit  suggestion support average heart rate bpm 
0,app 
0,lvd heheheh owsm app 
1,pointless ca nt even find  even use gps  notification say location set gps app say search gps  wtf  
